complaint_type,complaint_count
Encampment,191408
Drug Activity,93873
Animal in a Park,29914
Vending,27575
Electronics Waste,26487
Miscellaneous Categories,13752
Unleashed Dog,11718
DOF Property - Payment Issue,11414
DRIE,4023
Storm,3003
Posting Advertisement,2745
DPR Internal,2520
Uprooted Stump,2343
Adopt-A-Basket,2313
Private or Charter School Reopening,2099
Face Covering Violation,1798
Facades,1769
LinkNYC,1406
Quality of Life,1324
Executive Inspections,1289
Pet Shop,1281
Cannabis Retailer,1111
Illegal Animal Sold,817
AHV Inspection Unit,749
Special Natural Area District (SNAD),743
Special Operations,440
FATF,435
Incorrect Data,356
Lifeguard,259
Squeegee,244
Cooling Tower,231
X-Ray Machine/Equipment,204
Pet Sale,189
Dept of Investigations,186
FCST,180
Literature Request,161
Bench,156
Radioactive Material,134
Tobacco or Non-Tobacco Sale,123
Forensic Engineering,78
ATF,73
Transportation Provider Complaint,58
Tanning,55
Retailer Complaint,53
Stalled Sites,51
Unspecified,42
Single Occupancy Bathroom,39
Transfer Station Complaint,39
Wayfinding,32
DOF Property - Reduction Issue,28
Oil or Gas Spill,27
Taxpayer Advocate Inquiry,23
Ferry Inquiry,23
Internal Code,22
SRDE,22
Ferry Complaint,21
Interior Demo,20
Fire Alarm - Reinspection,16
Advocate-Commercial Exemptions,13
Advocate - Lien,13
DSNY Internal,13
ZTESTINT,12
SNW,12
Trans Fat,11
Fire Alarm - New System,9
Leaning Bar,9
Rangehood,9
Advocate-Business Tax,8
VACANT APARTMENT,6
AGENCY,6
Employee Behavior,6
Fire Alarm - Modification,4
SRGOVG,4
Sprinkler - Mechanical,3
Advocate - Levy,2
Homebound Evacuation 4,2
Gas Station Discharge Lines,2
ZSYSTEST,2
Advocate-Foreclosure,1
Advocate - Other,1
Advocate-UBT,1
Advocate-Personal Exemptions,1
MSOTHER,1
Injured Wildlife,1
Illegal Animal - Sold/Kept,1
Ferry Permit,1
