experiment_id,split,rows,valid_target_rows,positive_rows,negative_rows,missing_target_rows,positive_share
E1_main_2015_2025,test,247590,247590,31570,216020,0,0.12750918857789087
E1_main_2015_2025,train,954990,954990,121306,833684,0,0.1270233196159122
E1_main_2015_2025,validation,122616,122616,15574,107042,0,0.12701441899915183
E2_without_covid_years,test,247590,247590,31570,216020,0,0.12750918857789087
E2_without_covid_years,train,709758,709758,87046,622712,0,0.12264180185358953
E2_without_covid_years,validation,122616,122616,15574,107042,0,0.12701441899915183
E3_covid_period_feature_ablation,test,247590,247590,31570,216020,0,0.12750918857789087
E3_covid_period_feature_ablation,train,954990,954990,121306,833684,0,0.1270233196159122
E3_covid_period_feature_ablation,validation,122616,122616,15574,107042,0,0.12701441899915183
E4_pre_to_post_generalization,test,245232,245232,31367,213865,0,0.12790745090363412
E4_pre_to_post_generalization,train,589500,589500,71859,517641,0,0.12189821882951654
E4_pre_to_post_generalization,validation,245232,245232,30964,214268,0,0.12626410908853658
