experiment_id,split,model_name,feature_set,tn,fp,fn,tp
E1_main_2015_2025,test,current_week_abnormal_persistence,historical_rule,195832,20188,22037,9533
E1_main_2015_2025,train,current_week_abnormal_persistence,historical_rule,756664,77020,84377,36929
E1_main_2015_2025,validation,current_week_abnormal_persistence,historical_rule,97008,10034,10917,4657
E1_main_2015_2025,test,logistic_regression,historical_calendar_weather,162241,53779,14659,16911
E1_main_2015_2025,train,logistic_regression,historical_calendar_weather,575559,258125,50280,71026
E1_main_2015_2025,validation,logistic_regression,historical_calendar_weather,76679,30363,7025,8549
E1_main_2015_2025,test,logistic_regression,historical_only,154833,61187,13534,18036
E1_main_2015_2025,train,logistic_regression,historical_only,594518,239166,53146,68160
E1_main_2015_2025,validation,logistic_regression,historical_only,75988,31054,6833,8741
E1_main_2015_2025,test,majority_class,none,216020,0,31570,0
E1_main_2015_2025,train,majority_class,none,833684,0,121306,0
E1_main_2015_2025,validation,majority_class,none,107042,0,15574,0
E1_main_2015_2025,test,recent_momentum_above_baseline,historical_rule,158469,57551,16507,15063
E1_main_2015_2025,train,recent_momentum_above_baseline,historical_rule,617511,216173,63657,57649
E1_main_2015_2025,validation,recent_momentum_above_baseline,historical_rule,78476,28566,8035,7539
E1_main_2015_2025,test,rolling_zscore_rule,historical_rule,180695,35325,18198,13372
E1_main_2015_2025,train,rolling_zscore_rule,historical_rule,699091,134593,70343,50963
E1_main_2015_2025,validation,rolling_zscore_rule,historical_rule,89220,17822,9107,6467
E1_main_2015_2025,test,seasonal_lag52_margin,historical_rule,78465,137555,8254,23316
E1_main_2015_2025,train,seasonal_lag52_margin,historical_rule,336800,496884,39555,81751
E1_main_2015_2025,validation,seasonal_lag52_margin,historical_rule,37058,69984,4022,11552
E1_main_2015_2025,test,train_prevalence_probability,none,216020,0,31570,0
E1_main_2015_2025,train,train_prevalence_probability,none,833684,0,121306,0
E1_main_2015_2025,validation,train_prevalence_probability,none,107042,0,15574,0
