target_year,rows,covid_period_rows,covid_period_share,t0_positive_rows,t0_positive_share,t2_positive_rows,t2_positive_share,mean_target_next_week_count,median_target_next_week_count,positive_mu8w_lt_1_share_t0,positive_mu8w_lt_1_share_t2
2015,94320,0,0.0,10794,0.11444020356234097,8958,0.09497455470737913,16.64048982188295,6.0,0.21687974800815268,0.056932350971198926
2016,122616,0,0.0,15145,0.12351569126378287,12893,0.10514940953872251,17.810383636719514,6.0,0.19551006932981183,0.0557666951058714
2017,122616,0,0.0,15099,0.12314053630847524,12986,0.10590787499184445,18.693433157173615,7.0,0.1825286442810782,0.050284922223933465
2018,124974,0,0.0,15510,0.12410581400931393,13445,0.10758237713444396,20.75818970345832,7.0,0.17388781431334624,0.04789884715507624
2019,122616,0,0.0,14987,0.12222711554772624,12740,0.10390161153519932,20.273349318196647,7.0,0.1941015546807233,0.052904238618524335
2020,122616,120258,0.9807692307692307,17922,0.14616363280485417,15330,0.12502446662752006,23.251215175833497,7.0,0.19183126883160362,0.05570776255707763
2021,122616,122616,1.0,16408,0.13381614144972923,13979,0.11400632870098519,25.639141710706596,8.0,0.19661140906874694,0.05737177194362973
2022,122616,2358,0.019230769230769232,15441,0.1259297318457624,13322,0.10864813727409148,25.380823057349776,8.0,0.17848584936208794,0.048791472751839066
2023,122616,0,0.0,15574,0.12701441899915183,13313,0.10857473739153128,25.847858354537745,8.0,0.19429818928984205,0.05783820325997146
2024,124974,0,0.0,15858,0.12689039320178597,13715,0.10974282650791364,27.72000576119833,8.0,0.1792155378988523,0.051330659861465545
2025,122616,0,0.0,15712,0.12813988386507472,13562,0.11060546747569648,28.89706074248059,8.0,0.179989816700611,0.05072998082878631
