feature,feature_group,mean_abs_shap,mean_signed_shap,mean_abs_shap_share,importance_rank
rolling_12w_mean,shifted_history,0.447571495367688,0.20287209244228985,0.13197431888976033,1
ratio_to_12w_mean,shifted_history,0.42369865935857404,0.1959445617669974,0.12493499376544363,2
rolling_4w_std,shifted_history,0.26347835752032095,0.022324089182744693,0.07769122282322959,3
complaint_count,current_count,0.24430453867875038,0.2134997363111465,0.07203748546881403,4
rolling_12w_std,shifted_history,0.2283850822516397,-0.024044082516501492,0.06734335404890049,5
lag_8w_count,shifted_history,0.19509000665139584,-0.07651655200771507,0.05752571603976983,6
lag_52w_count,shifted_history,0.18326490127190456,0.07354895780410232,0.054038875960787734,7
lag_12w_count,shifted_history,0.16201626939250677,0.04032443393927446,0.04777334352932891,8
history_weeks_available,shifted_history,0.15227732023015597,-0.14411858080970186,0.04490164326310137,9
week_of_year,calendar,0.1498774692490804,0.0425502540882894,0.044194005037829276,10
diff_4w_count,shifted_history,0.11651375105663314,0.04289652075258153,0.03435612655439086,11
lag_1w_count,shifted_history,0.09791739460340984,0.026799007072580452,0.028872664130741334,12
rolling_4w_mean,shifted_history,0.07172000903997337,0.021944857104391723,0.021147904729817764,13
complaint_category_noise,service_category,0.05992040556439316,0.012541594217012198,0.017668584335252327,14
complaint_category_housing,service_category,0.046141568082984585,0.006820114493100412,0.01360565202047722,15
complaint_category_environment,service_category,0.04082226117723099,0.003030739840612043,0.012037160923259972,16
complaint_category_water_sewer,service_category,0.028100704537115218,0.0015035757873648617,0.008285986440136275,17
lag_2w_count,shifted_history,0.028066148784053495,0.010838351416467953,0.008275797069228511,18
month,calendar,0.02676961700674247,0.012180861128906886,0.007893491895640583,19
diff_1w_count,shifted_history,0.026354395032677228,0.008198633854972057,0.007771056401462599,20
complaint_category_sanitation,service_category,0.024799716741661006,0.0038414096619235143,0.00731263219287665,21
rolling_12w_sum,shifted_history,0.021573142906418017,0.009614384645186859,0.006361220209180296,22
weather_prcp_max,feature_week_weather,0.0208068975784874,0.005657123768509942,0.006135279311909731,23
weather_awnd_mean,feature_week_weather,0.020496446591376595,-0.005463340609458181,0.006043737383979438,24
pct_change_1w,shifted_history,0.019912964337154285,-0.003562333907460928,0.0058716873899958165,25
weather_awnd_max,feature_week_weather,0.019524369612803218,0.0005936215005474164,0.005757103408215977,26
complaint_category_public_safety,service_category,0.019030248576509645,0.00248335752947003,0.005611403139345247,27
weather_tmax_min,feature_week_weather,0.018648967733481243,0.005788111500405267,0.005498975783972563,28
boroname_Manhattan,borough,0.017271244786643422,0.0020407598639352784,0.005092729967584406,29
weather_tmax_max,feature_week_weather,0.017082955221503937,-0.007028490177353842,0.005037209481202853,30
weather_prcp_mean,feature_week_weather,0.016684750097742847,-0.010225229614940694,0.0049197917043097795,31
weather_tmin_max,feature_week_weather,0.015311569533285418,-0.0033859318278754735,0.004514885289172581,32
complaint_category_infrastructure,service_category,0.014690858935801472,0.002006006456110337,0.0043318578641054345,33
boroname_Brooklyn,borough,0.013868300017285262,-3.370249499017144e-05,0.00408931191526503,34
weather_tavg_mean,feature_week_weather,0.013540569533481393,0.0010230648583860673,0.003992674824147565,35
rolling_4w_sum,shifted_history,0.013220054857048524,0.004621437597814739,0.0038981654406095236,36
weather_tmin_min,feature_week_weather,0.011459862224959788,0.004239976860972908,0.0033791417178323465,37
weather_tmin_mean,feature_week_weather,0.011386150930469836,-0.0015803353899525468,0.0033574066476022768,38
lag_4w_count,shifted_history,0.010790738000483881,0.002460329145786643,0.0031818386842571164,39
weather_tmax_mean,feature_week_weather,0.010421097997088942,-0.001969071666725648,0.003072843834970792,40
complaint_category_other,service_category,0.009120201042794662,0.0013220963158269443,0.00268925151225661,41
quarter,calendar,0.005151339007630791,0.0018762438523450425,0.0015189628113913356,42
complaint_category_parking_traffic,service_category,0.004793568555199738,0.0008703979041664353,0.0014134679077454269,43
weather_snow_max,feature_week_weather,0.004452038772278497,-0.0009312186374537507,0.001312761850840328,44
weather_prcp_station_max,feature_week_weather,0.003920384996858424,0.0005289049082002354,0.0011559943944173218,45
rain_day_count,feature_week_weather,0.0038064737343836397,-0.0008982638017677168,0.001122405657344975,46
ice_day_tmax_0c_count,feature_week_weather,0.003805494887685604,-7.705688018708625e-07,0.0011221170271984893,47
cold_day_0c_count,feature_week_weather,0.003238335819538839,0.001497235598902647,0.0009548802114148357,48
weather_tmax_station_max,feature_week_weather,0.003046087595037703,0.001300595123769993,0.0008981924447699565,49
is_year_end,calendar,0.0030031417248985986,-0.0001720725723014109,0.000885529100434142,50
weather_prcp_sum,feature_week_weather,0.002357990239337483,-0.0006813922300207085,0.0006952948501101834,51
boroname_Bronx,borough,0.0023192494745397163,-2.7366259104719226e-05,0.0006838714549646694,52
heavy_rain_day_25mm_count,feature_week_weather,0.0023105277176439457,-0.0011489960260107873,0.0006812996917095144,53
moderate_rain_day_10mm_count,feature_week_weather,0.0022524147960918226,2.3086822355872298e-05,0.0006641640757913582,54
weather_snwd_mean,feature_week_weather,0.002239424169614404,0.0017334225159887512,0.0006603335613393595,55
very_cold_day_minus5c_count,feature_week_weather,0.002215676772372436,0.0013005407707564452,0.0006533312240393968,56
iso_year,calendar,0.0019861608882137875,0.000569944758245321,0.0005856544331809109,57
boroname_Staten Island,borough,0.001591547918074708,-5.29481034054928e-05,0.0004692958658946124,58
weather_snow_mean,feature_week_weather,0.0012713230880825894,-0.00011823110445934635,0.00037487194867200064,59
boroname_Queens,borough,0.0012655024796798572,0.00011905737916105998,0.0003731556400209246,60
hot_day_30c_count,feature_week_weather,0.0012055201111799538,-0.0002306826808784818,0.0003554687848254968,61
weather_snwd_max,feature_week_weather,0.0010905455953545634,0.0005223348107663416,0.00032156652882219525,62
year,calendar,0.0008707168458062356,-0.0007203168664145352,0.0002567461597989298,63
snow_day_count,feature_week_weather,0.0006292932108203345,0.0003100761614670651,0.0001855581593991737,64
weather_snow_sum,feature_week_weather,0.00029592603842019705,9.981193328118462e-05,8.725899161689568e-05,65
is_year_start,calendar,0.00015813148620209483,7.076238841870426e-05,4.662784695303819e-05,66
hot_day_35c_count,feature_week_weather,9.024402481462941e-05,-3.858365079607037e-05,2.6610036233422673e-05,67
very_heavy_rain_day_50mm_count,feature_week_weather,5.442548649641853e-05,3.897943891470273e-05,1.604831090663607e-05,68
heavy_snow_day_25mm_count,feature_week_weather,0.0,0.0,0.0,69
